run_id,strategy,seed,stall_width_m,aisle_width_m,ped_density_per_m,suv_probability,suv_present,pedestrian_count,pedestrian_speed_mps,total_cycle_time_s,reaction_time_s,gear_shifts,los_blocked,creep_activated,max_blind_exit_speed_mps,min_pedestrian_distance_m,proximity_warning,required_braking_mps2,critical_conflict,collision
6293,reverse,42,2.7,6.1564,0.28954,0.18709,True,3,1.4737,18.1306,0.586,2,False,False,1.2,2.2583,True,0.1737,False,False
6294,forward,42,2.7,6.6109,0.17723,0.22009,True,0,,17.9527,1.0799,1,True,True,0.5,,True,1.8077,False,False
6295,reverse,42,2.7,7.0615,0.13284,0.72513,True,1,1.1753,18.8261,0.6133,2,False,False,1.2,2.6495,False,0.6788,False,False
6296,forward,42,2.7,5.9413,0.21168,0.76355,False,2,1.2623,15.6056,1.1491,1,False,False,1.2,2.3157,False,2.5585,False,False
6297,reverse,42,2.7,6.4604,0.24082,0.38423,True,2,1.132,18.2466,0.4775,2,False,False,1.2,1.2754,True,1.0735,False,False
6298,forward,42,2.7,7.1821,0.27749,0.06831,True,0,,18.077,0.8492,1,True,True,0.5,,False,1.3822,False,False
6299,reverse,42,2.7,5.902,0.26932,0.7936,True,2,1.2171,18.07,0.7132,2,False,False,1.2,1.9088,False,1.5115,False,False
6300,forward,42,2.7,6.418,0.21972,0.03813,False,0,,15.6721,0.9192,1,False,False,1.2,,True,0.2965,False,False
6301,reverse,42,2.7,6.5616,0.10772,0.53924,True,1,1.4837,18.557,0.7132,2,False,False,1.2,2.7032,False,2.8377,False,False
6302,forward,42,2.7,6.6217,0.1375,0.77447,True,2,1.6691,17.5078,0.6283,1,True,True,0.5,1.478,True,4.1931,True,False
6303,reverse,42,2.7,6.855,0.25411,0.58312,True,2,1.2582,18.9814,0.921,2,False,False,1.2,1.7248,True,4.9862,True,False
6304,forward,42,2.7,6.2639,0.24268,0.59656,True,0,,17.4175,0.7604,1,True,True,0.5,,False,0.1816,False,False
6305,reverse,42,2.7,6.3031,0.20232,0.4255,True,1,1.2996,18.2813,0.6284,2,False,False,1.2,1.8883,True,2.1533,False,False
6306,forward,42,2.7,6.7249,0.2642,0.67171,True,0,,17.3968,0.4531,1,True,True,0.5,,False,1.0725,False,False
6307,reverse,42,2.7,6.3394,0.05727,0.05599,False,0,,18.444,0.7643,2,False,False,1.2,,False,2.4333,False,False
6308,forward,42,2.7,7.109,0.28564,0.71863,True,3,1.3277,17.9561,0.7737,1,True,True,0.5,1.8539,True,2.3786,False,False
6309,reverse,42,2.7,5.7913,0.22735,0.60475,False,1,1.7828,17.791,0.5158,2,False,False,1.2,2.6637,True,4.0377,True,False
6310,forward,42,2.7,6.8137,0.26631,0.23249,False,1,1.575,15.6307,0.6318,1,False,False,1.2,3.4574,False,1.7912,False,False
6311,reverse,42,2.7,6.9738,0.13871,0.55772,True,0,,18.9539,0.8058,2,False,False,1.2,,False,0.1618,False,False
6312,forward,42,2.7,5.8165,0.19063,0.05565,False,1,1.2854,15.4501,1.0712,1,False,False,1.2,1.5588,True,1.6595,False,False
6313,reverse,42,2.7,7.0499,0.21525,0.41046,True,3,1.5253,18.8757,0.6715,2,False,False,1.2,1.8,True,0.974,False,False
6314,forward,42,2.7,7.1863,0.13758,0.1705,False,3,1.3048,16.1867,0.9562,1,False,False,1.2,1.8554,True,2.832,False,False
6315,reverse,42,2.7,6.3409,0.20368,0.79933,True,1,1.0822,18.4228,0.7419,2,False,False,1.2,2.0655,True,1.9855,False,False
6316,forward,42,2.7,6.7269,0.11795,0.49725,True,0,,17.6295,0.6846,1,True,True,0.5,,False,1.7153,False,False
6317,reverse,42,2.7,6.469,0.0598,0.7489,True,1,1.393,18.5942,0.8189,2,False,False,1.2,1.295,False,1.1192,False,False
6318,forward,42,2.7,5.864,0.11305,0.74861,True,1,1.5002,17.305,0.8966,1,True,True,0.5,1.5481,False,1.002,False,False
